BP_Enemy_C_0 X=200.000 Y=1400.000 Z=261.325, BP_Broch_C_0 X=4177.500 Y=4222.500 Z=255.000, 2024.05.08-16.15.51
BP_Enemy_C_1 X=400.000 Y=1200.000 Z=261.325, BP_Broch_C_0 X=4177.500 Y=4222.500 Z=255.000, 2024.05.08-16.15.51
BP_Enemy_C_2 X=200.000 Y=1300.000 Z=261.325, BP_Broch_C_0 X=4177.500 Y=4222.500 Z=255.000, 2024.05.08-16.15.51
BP_Enemy_C_1 X=4377.789 Y=3412.386 Z=261.325, BP_Citizen_C_2 X=4149.742 Y=3773.305 Z=255.000, 2024.05.08-16.16.17
BP_Enemy_C_1 X=4377.789 Y=3412.386 Z=261.325, BP_Citizen_C_5 X=4161.800 Y=3780.386 Z=255.000, 2024.05.08-16.16.17
BP_Citizen_C_5 X=4161.800 Y=3780.386 Z=263.750, BP_Enemy_C_1 X=4377.760 Y=3432.401 Z=255.000, 2024.05.08-16.16.18
BP_Citizen_C_2 X=4149.742 Y=3773.305 Z=263.650, BP_Enemy_C_1 X=4377.758 Y=3433.333 Z=255.000, 2024.05.08-16.16.18
BP_Enemy_C_1 X=4377.757 Y=3434.083 Z=261.325, BP_Citizen_C_5 X=4161.845 Y=3780.386 Z=255.000, 2024.05.08-16.16.18
BP_Enemy_C_1 X=4377.756 Y=3434.911 Z=261.325, BP_Citizen_C_5 X=4161.909 Y=3780.386 Z=255.000, 2024.05.08-16.16.18
BP_Citizen_C_2 X=4151.626 Y=3773.579 Z=263.650, BP_Enemy_C_1 X=4377.742 Y=3444.928 Z=255.000, 2024.05.08-16.16.18
BP_Citizen_C_5 X=4164.195 Y=3780.372 Z=263.750, BP_Enemy_C_1 X=4377.742 Y=3444.928 Z=255.000, 2024.05.08-16.16.18
BP_Enemy_C_1 X=4377.716 Y=3462.406 Z=261.325, BP_Citizen_C_5 X=4168.744 Y=3780.344 Z=255.000, 2024.05.08-16.16.18
BP_Citizen_C_2 X=4171.462 Y=3774.102 Z=263.650, BP_Enemy_C_1 X=4377.626 Y=3524.894 Z=255.000, 2024.05.08-16.16.18
BP_Citizen_C_5 X=4184.038 Y=3780.250 Z=263.750, BP_Enemy_C_1 X=4377.626 Y=3524.894 Z=255.000, 2024.05.08-16.16.18
BP_Enemy_C_1 X=4377.601 Y=3542.377 Z=261.325, BP_Citizen_C_5 X=4188.583 Y=3780.222 Z=255.000, 2024.05.08-16.16.18
BP_Enemy_C_2 X=4378.163 Y=3393.745 Z=261.325, BP_Citizen_C_5 X=4196.854 Y=3780.171 Z=255.000, 2024.05.08-16.16.18
BP_Enemy_C_2 X=4378.161 Y=3394.595 Z=261.325, BP_Citizen_C_5 X=4197.064 Y=3780.170 Z=255.000, 2024.05.08-16.16.18
BP_Citizen_C_5 X=4201.193 Y=3780.145 Z=263.750, BP_Enemy_C_1 X=4377.526 Y=3594.040 Z=255.000, 2024.05.08-16.16.18
